"Day","Hour","DL_1k"
"20/07/24","12:11:47","149"
"20/07/24","12:12:21","149.15"
"20/07/24","12:12:55","149.32"
"20/07/24","12:13:30","149.47"
"20/07/24","12:14:04","149.69"
"20/07/24","12:14:39","149.85"
"20/07/24","12:15:13","150.03"
"20/07/24","12:15:47","150.23"
"20/07/24","12:16:21","150.42"
"20/07/24","12:16:56","150.65"
"20/07/24","12:17:30","150.81"
"20/07/24","12:18:04","151"
"20/07/24","12:18:38","151.12"
"20/07/24","12:19:12","151.26"
"20/07/24","12:19:47","151.47"
"20/07/24","12:20:21","151.64"
"20/07/24","12:20:55","151.84"
"20/07/24","12:21:30","151.99"
"20/07/24","12:22:04","152.16"
"20/07/24","12:22:39","152.35"
"20/07/24","12:25:05","153.11"
