"Day","Hour","DL_3k"
"20/07/24","12:14:39","812.32"
"20/07/24","12:15:13","812.67"
"20/07/24","12:15:47","813.08"
"20/07/24","12:16:21","813.46"
"20/07/24","12:16:56","813.93"
"20/07/24","12:17:30","814.24"
"20/07/24","12:18:04","814.62"
"20/07/24","12:18:38","814.86"
"20/07/24","12:19:12","815.13"
"20/07/24","12:19:47","815.56"
"20/07/24","12:20:21","815.9"
"20/07/24","12:20:55","816.29"
"20/07/24","12:21:30","816.61"
"20/07/24","12:22:04","817.03"
"20/07/24","12:22:39","817.33"
"20/07/24","12:25:05","818.83"
"20/07/24","12:11:47","810.62"
"20/07/24","12:12:21","810.91"
"20/07/24","12:12:55","811.26"
"20/07/24","12:13:30","811.57"
"20/07/24","12:14:04","811.99"
